Day,smelling
1/1/2020,7
1/2/2020,4
1/3/2020,4
1/4/2020,3
1/5/2020,14
1/6/2020,5
1/7/2020,5
1/8/2020,0
1/9/2020,4
1/10/2020,6
1/11/2020,4
1/12/2020,5
1/13/2020,7
1/14/2020,3
1/15/2020,7
1/16/2020,4
1/17/2020,15
1/18/2020,10
1/19/2020,3
1/20/2020,5
1/21/2020,9
1/22/2020,3
1/23/2020,4
1/24/2020,4
1/25/2020,21
1/26/2020,7
1/27/2020,14
1/28/2020,7
1/29/2020,4
1/30/2020,10
1/31/2020,12
2/1/2020,5
2/2/2020,7
2/3/2020,10
2/4/2020,5
2/5/2020,6
2/6/2020,0
2/7/2020,4
2/8/2020,4
2/9/2020,9
2/10/2020,4
2/11/2020,4
2/12/2020,4
2/13/2020,8
2/14/2020,6
2/15/2020,4
2/16/2020,12
2/17/2020,3
2/18/2020,4
2/19/2020,7
2/20/2020,6
2/21/2020,8
2/22/2020,14
2/23/2020,17
2/24/2020,15
2/25/2020,14
2/26/2020,14
2/27/2020,24
2/28/2020,17
2/29/2020,21
3/1/2020,24
3/2/2020,28
3/3/2020,21
3/4/2020,33
3/5/2020,37
3/6/2020,44
3/7/2020,16
3/8/2020,50
3/9/2020,83
3/10/2020,57
3/11/2020,59
3/12/2020,62
3/13/2020,60
3/14/2020,61
3/15/2020,46
3/16/2020,44
3/17/2020,39
3/18/2020,35
3/19/2020,39
3/20/2020,34
3/21/2020,29
3/22/2020,69
3/23/2020,52
3/24/2020,59
3/25/2020,54
3/26/2020,35
3/27/2020,36
3/28/2020,31
3/29/2020,51
3/30/2020,26
3/31/2020,46
4/1/2020,65
4/2/2020,66
4/3/2020,51
4/4/2020,30
4/5/2020,29
4/6/2020,37
4/7/2020,31
4/8/2020,21
4/9/2020,21
4/10/2020,24
4/11/2020,27
4/12/2020,17
4/13/2020,20
4/14/2020,12
4/15/2020,22
4/16/2020,23
4/17/2020,16
4/18/2020,18
4/19/2020,9
4/20/2020,16
4/21/2020,14
4/22/2020,8
4/23/2020,5
4/24/2020,12
4/25/2020,9
4/26/2020,18
4/27/2020,15
4/28/2020,15
4/29/2020,7
4/30/2020,10
5/1/2020,17
5/2/2020,19
5/3/2020,15
5/4/2020,18
5/5/2020,11
5/6/2020,10
5/7/2020,13
5/8/2020,13
5/9/2020,9
5/10/2020,18
5/11/2020,16
5/12/2020,9
5/13/2020,16
5/14/2020,12
5/15/2020,16
5/16/2020,12
5/17/2020,21
5/18/2020,19
5/19/2020,9
5/20/2020,20
5/21/2020,25
5/22/2020,23
5/23/2020,27
5/24/2020,20
5/25/2020,20
5/26/2020,25
5/27/2020,19
5/28/2020,20
5/29/2020,23
5/30/2020,21
5/31/2020,29
6/1/2020,23
6/2/2020,20
6/3/2020,21
6/4/2020,51
6/5/2020,29
6/6/2020,25
6/7/2020,28
6/8/2020,27
6/9/2020,27
6/10/2020,32
6/11/2020,36
6/12/2020,45
6/13/2020,33
6/14/2020,32
6/15/2020,37
6/16/2020,40
6/17/2020,36
6/18/2020,36
6/19/2020,58
6/20/2020,38
6/21/2020,55
6/22/2020,51
6/23/2020,62
6/24/2020,50
6/25/2020,51
6/26/2020,66
6/27/2020,60
6/28/2020,65
6/29/2020,58
6/30/2020,55
7/1/2020,57
7/2/2020,72
7/3/2020,58
7/4/2020,73
7/5/2020,65
7/6/2020,71
7/7/2020,65
7/8/2020,75
7/9/2020,77
7/10/2020,100
7/11/2020,61
7/12/2020,56
7/13/2020,87
7/14/2020,62
7/15/2020,51
7/16/2020,78
7/17/2020,83
7/18/2020,73
7/19/2020,64
7/20/2020,58
7/21/2020,53
7/22/2020,43
7/23/2020,59
7/24/2020,54
7/25/2020,49
7/26/2020,50
7/27/2020,46
7/28/2020,30
7/29/2020,44
7/30/2020,46
7/31/2020,43
8/1/2020,40
8/2/2020,34
8/3/2020,34
