Category: All categories

Day,Coronavirus: (Canada)
2020-01-01,<1
2020-01-02,<1
2020-01-03,<1
2020-01-04,<1
2020-01-05,<1
2020-01-06,<1
2020-01-07,<1
2020-01-08,<1
2020-01-09,<1
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,1
2020-01-21,3
2020-01-22,5
2020-01-23,7
2020-01-24,9
2020-01-25,14
2020-01-26,21
2020-01-27,20
2020-01-28,24
2020-01-29,21
2020-01-30,21
2020-01-31,18
2020-02-01,13
2020-02-02,11
2020-02-03,10
2020-02-04,9
2020-02-05,9
2020-02-06,9
2020-02-07,10
2020-02-08,9
2020-02-09,9
2020-02-10,8
2020-02-11,8
2020-02-12,7
2020-02-13,8
2020-02-14,6
2020-02-15,6
2020-02-16,6
2020-02-17,5
2020-02-18,5
2020-02-19,5
2020-02-20,5
2020-02-21,5
2020-02-22,6
2020-02-23,7
2020-02-24,10
2020-02-25,13
2020-02-26,15
2020-02-27,16
2020-02-28,18
2020-02-29,18
2020-03-01,18
2020-03-02,20
2020-03-03,20
2020-03-04,19
2020-03-05,23
2020-03-06,27
2020-03-07,26
2020-03-08,26
2020-03-09,31
2020-03-10,35
2020-03-11,50
2020-03-12,100
2020-03-13,98
2020-03-14,80
2020-03-15,81
2020-03-16,87
2020-03-17,79
2020-03-18,77
2020-03-19,70
2020-03-20,67
2020-03-21,69
2020-03-22,70
2020-03-23,65
2020-03-24,59
2020-03-25,58
2020-03-26,55
2020-03-27,56
2020-03-28,55
2020-03-29,53
2020-03-30,47
2020-03-31,43
2020-04-01,43
2020-04-02,41
2020-04-03,44
2020-04-04,53
2020-04-05,51
2020-04-06,44
2020-04-07,47
2020-04-08,43
2020-04-09,40
2020-04-10,41
2020-04-11,33
2020-04-12,28
2020-04-13,36
2020-04-14,36
2020-04-15,35
2020-04-16,33
2020-04-17,34
2020-04-18,36
2020-04-19,33
2020-04-20,31
2020-04-21,22
2020-04-22,19
2020-04-23,27
2020-04-24,29
2020-04-25,31
2020-04-26,30
2020-04-27,20
2020-04-28,17
2020-04-29,16
2020-04-30,14
2020-05-01,15
2020-05-02,15
2020-05-03,16
2020-05-04,15
2020-05-05,14
2020-05-06,14
2020-05-07,13
2020-05-08,12
2020-05-09,13
2020-05-10,13
2020-05-11,13
2020-05-12,13
2020-05-13,13
2020-05-14,12
2020-05-15,12
2020-05-16,12
2020-05-17,12
2020-05-18,12
2020-05-19,10
2020-05-20,10
2020-05-21,10
2020-05-22,10
2020-05-23,10
2020-05-24,10
2020-05-25,10
2020-05-26,9
2020-05-27,9
2020-05-28,8
2020-05-29,8
2020-05-30,9
2020-05-31,9
2020-06-01,8
2020-06-02,8
2020-06-03,7
2020-06-04,7
2020-06-05,7
2020-06-06,7
2020-06-07,8
2020-06-08,8
2020-06-09,7
2020-06-10,7
2020-06-11,7
2020-06-12,7
2020-06-13,7
2020-06-14,7
2020-06-15,7
2020-06-16,7
2020-06-17,7
2020-06-18,7
2020-06-19,7
2020-06-20,7
2020-06-21,7
2020-06-22,7
2020-06-23,7
2020-06-24,7
2020-06-25,7
2020-06-26,8
2020-06-27,8
2020-06-28,8
2020-06-29,7
2020-06-30,7
2020-07-01,7
2020-07-02,8
2020-07-03,7
2020-07-04,8
2020-07-05,8
2020-07-06,8
2020-07-07,7
2020-07-08,7
2020-07-09,7
2020-07-10,7
2020-07-11,6
2020-07-12,7
2020-07-13,7
2020-07-14,7
2020-07-15,7
2020-07-16,6
2020-07-17,7
2020-07-18,7
2020-07-19,7
2020-07-20,7
2020-07-21,7
2020-07-22,6
2020-07-23,6
2020-07-24,6
2020-07-25,6
2020-07-26,6
2020-07-27,6
2020-07-28,6
2020-07-29,6
2020-07-30,6
2020-07-31,5
2020-08-01,6
2020-08-02,5
