Day,count
1/1/2020,0
1/2/2020,0
1/3/2020,0
1/4/2020,0
1/5/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/11/2020,0
1/12/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0
1/17/2020,0
1/18/2020,0
1/19/2020,0
1/20/2020,0
1/21/2020,0
1/22/2020,1
1/23/2020,6
1/24/2020,10
1/25/2020,11
1/26/2020,8
1/27/2020,6
1/28/2020,7
1/29/2020,10
1/30/2020,14
1/31/2020,21
2/1/2020,18
2/2/2020,20
2/3/2020,20
2/4/2020,15
2/5/2020,10
2/6/2020,8
2/7/2020,9
2/8/2020,8
2/9/2020,5
2/10/2020,5
2/11/2020,4
2/12/2020,4
2/13/2020,3
2/14/2020,3
2/15/2020,3
2/16/2020,4
2/17/2020,3
2/18/2020,3
2/19/2020,36
2/20/2020,93
2/21/2020,87
2/22/2020,98
2/23/2020,100
2/24/2020,93
2/25/2020,90
2/26/2020,78
2/27/2020,77
2/28/2020,80
2/29/2020,74
3/1/2020,70
3/2/2020,70
3/3/2020,70
3/4/2020,62
3/5/2020,66
3/6/2020,70
3/7/2020,56
3/8/2020,59
3/9/2020,62
3/10/2020,64
3/11/2020,67
3/12/2020,66
3/13/2020,66
3/14/2020,64
3/15/2020,61
3/16/2020,56
3/17/2020,50
3/18/2020,49
3/19/2020,42
3/20/2020,43
3/21/2020,48
3/22/2020,48
3/23/2020,49
3/24/2020,49
3/25/2020,48
3/26/2020,47
3/27/2020,46
3/28/2020,47
3/29/2020,41
3/30/2020,40
3/31/2020,41
4/1/2020,39
4/2/2020,41
4/3/2020,44
4/4/2020,39
4/5/2020,37
4/6/2020,35
4/7/2020,32
4/8/2020,29
4/9/2020,27
4/10/2020,28
4/11/2020,28
4/12/2020,27
4/13/2020,27
4/14/2020,25
4/15/2020,25
4/16/2020,27
4/17/2020,26
4/18/2020,24
4/19/2020,23
4/20/2020,22
4/21/2020,22
4/22/2020,21
4/23/2020,20
4/24/2020,22
4/25/2020,18
4/26/2020,17
4/27/2020,18
4/28/2020,17
4/29/2020,16
4/30/2020,15
5/1/2020,15
5/2/2020,14
5/3/2020,18
5/4/2020,17
5/5/2020,16
5/6/2020,15
5/7/2020,16
5/8/2020,15
5/9/2020,14
5/10/2020,15
5/11/2020,13
5/12/2020,13
5/13/2020,16
5/14/2020,15
5/15/2020,15
5/16/2020,15
5/17/2020,15
5/18/2020,16
5/19/2020,15
5/20/2020,15
5/21/2020,14
5/22/2020,13
5/23/2020,12
5/24/2020,13
5/25/2020,14
5/26/2020,13
5/27/2020,12
5/28/2020,13
5/29/2020,15
5/30/2020,13
5/31/2020,13
6/1/2020,14
6/2/2020,15
6/3/2020,14
6/4/2020,16
6/5/2020,16
6/6/2020,14
6/7/2020,14
6/8/2020,14
6/9/2020,14
6/10/2020,14
6/11/2020,16
6/12/2020,16
6/13/2020,14
6/14/2020,15
6/15/2020,15
6/16/2020,16
6/17/2020,18
6/18/2020,19
6/19/2020,19
6/20/2020,19
6/21/2020,17
6/22/2020,14
6/23/2020,15
6/24/2020,16
6/25/2020,18
6/26/2020,19
6/27/2020,19
6/28/2020,18
6/29/2020,21
6/30/2020,25
7/1/2020,23
7/2/2020,23
7/3/2020,23
7/4/2020,24
7/5/2020,25
7/6/2020,25
7/7/2020,27
7/8/2020,26
7/9/2020,27
7/10/2020,29
7/11/2020,26
7/12/2020,24
7/13/2020,24
7/14/2020,24
7/15/2020,23
7/16/2020,23
7/17/2020,23
7/18/2020,23
7/19/2020,21
7/20/2020,22
7/21/2020,22
7/22/2020,22
7/23/2020,20
7/24/2020,20
7/25/2020,19
7/26/2020,18
7/27/2020,17
7/28/2020,18
7/29/2020,18
7/30/2020,17
7/31/2020,18
8/1/2020,17
8/2/2020,17
