Category: All categories

Day,Coronavirus: (United Kingdom)
2020-01-01,<1
2020-01-02,<1
2020-01-03,<1
2020-01-04,<1
2020-01-05,<1
2020-01-06,<1
2020-01-07,<1
2020-01-08,<1
2020-01-09,<1
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,<1
2020-01-19,<1
2020-01-20,<1
2020-01-21,1
2020-01-22,2
2020-01-23,4
2020-01-24,5
2020-01-25,5
2020-01-26,5
2020-01-27,6
2020-01-28,7
2020-01-29,7
2020-01-30,11
2020-01-31,18
2020-02-01,8
2020-02-02,7
2020-02-03,6
2020-02-04,5
2020-02-05,5
2020-02-06,7
2020-02-07,6
2020-02-08,6
2020-02-09,6
2020-02-10,10
2020-02-11,8
2020-02-12,8
2020-02-13,8
2020-02-14,6
2020-02-15,5
2020-02-16,4
2020-02-17,4
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,4
2020-02-23,6
2020-02-24,9
2020-02-25,17
2020-02-26,21
2020-02-27,19
2020-02-28,22
2020-02-29,15
2020-03-01,19
2020-03-02,26
2020-03-03,27
2020-03-04,32
2020-03-05,36
2020-03-06,31
2020-03-07,27
2020-03-08,34
2020-03-09,43
2020-03-10,50
2020-03-11,58
2020-03-12,90
2020-03-13,82
2020-03-14,82
2020-03-15,87
2020-03-16,100
2020-03-17,95
2020-03-18,88
2020-03-19,78
2020-03-20,74
2020-03-21,73
2020-03-22,83
2020-03-23,81
2020-03-24,68
2020-03-25,71
2020-03-26,64
2020-03-27,61
2020-03-28,59
2020-03-29,60
2020-03-30,49
2020-03-31,46
2020-04-01,45
2020-04-02,45
2020-04-03,42
2020-04-04,55
2020-04-05,57
2020-04-06,46
2020-04-07,43
2020-04-08,52
2020-04-09,40
2020-04-10,47
2020-04-11,36
2020-04-12,37
2020-04-13,46
2020-04-14,42
2020-04-15,41
2020-04-16,40
2020-04-17,37
2020-04-18,28
2020-04-19,29
2020-04-20,27
2020-04-21,36
2020-04-22,26
2020-04-23,25
2020-04-24,34
2020-04-25,25
2020-04-26,24
2020-04-27,24
2020-04-28,24
2020-04-29,25
2020-04-30,20
2020-05-01,21
2020-05-02,21
2020-05-03,22
2020-05-04,21
2020-05-05,23
2020-05-06,21
2020-05-07,21
2020-05-08,18
2020-05-09,19
2020-05-10,24
2020-05-11,22
2020-05-12,20
2020-05-13,19
2020-05-14,18
2020-05-15,18
2020-05-16,18
2020-05-17,19
2020-05-18,18
2020-05-19,17
2020-05-20,17
2020-05-21,16
2020-05-22,13
2020-05-23,13
2020-05-24,14
2020-05-25,16
2020-05-26,15
2020-05-27,14
2020-05-28,16
2020-05-29,14
2020-05-30,13
2020-05-31,14
2020-06-01,14
2020-06-02,13
2020-06-03,12
2020-06-04,12
2020-06-05,12
2020-06-06,12
2020-06-07,12
2020-06-08,11
2020-06-09,12
2020-06-10,11
2020-06-11,11
2020-06-12,10
2020-06-13,11
2020-06-14,11
2020-06-15,11
2020-06-16,11
2020-06-17,11
2020-06-18,11
2020-06-19,10
2020-06-20,10
2020-06-21,10
2020-06-22,11
2020-06-23,12
2020-06-24,11
2020-06-25,10
2020-06-26,10
2020-06-27,10
2020-06-28,11
2020-06-29,12
2020-06-30,11
2020-07-01,11
2020-07-02,13
2020-07-03,10
2020-07-04,10
2020-07-05,21
2020-07-06,10
2020-07-07,10
2020-07-08,10
2020-07-09,10
2020-07-10,9
2020-07-11,10
2020-07-12,10
2020-07-13,10
2020-07-14,10
2020-07-15,9
2020-07-16,9
2020-07-17,9
2020-07-18,8
2020-07-19,8
2020-07-20,8
2020-07-21,8
2020-07-22,8
2020-07-23,8
2020-07-24,8
2020-07-25,9
2020-07-26,9
2020-07-27,10
2020-07-28,9
2020-07-29,9
2020-07-30,11
2020-07-31,11
2020-08-01,9
2020-08-02,10
